student_id,G1,G2,G3
0,13,13,14
1,17,16,16
2,8,6,7
3,10,10,10
4,7,8,9
5,10,12,11
6,18,18,19
7,13,13,13
8,7,10,10
9,5,0,0
10,14,12,12
11,10,9,9
12,10,10,10
13,15,12,14
14,10,11,11
15,10,10,10
16,15,15,15
17,17,18,18
18,10,9,8
19,16,15,16
20,10,8,9
21,13,14,14
22,6,8,8
23,11,11,10
24,16,15,15
25,13,14,13
26,14,14,14
27,13,13,13
28,10,10,9
29,10,8,11
30,8,9,10
31,9,9,10
32,11,11,11
33,7,8,0
34,12,11,12
35,9,9,9
36,10,12,12
37,10,9,0
38,12,12,12
39,14,15,16
40,15,14,15
41,13,12,12
42,11,12,10
43,7,7,8
44,9,8,10
45,7,7,7
46,16,16,16
47,5,8,7
48,8,9,10
49,13,15,15
50,15,14,14
51,12,13,12
52,10,12,12
53,6,10,10
54,10,10,11
55,8,9,10
56,13,10,11
57,7,7,9
58,13,13,13
59,14,15,15
60,11,9,10
61,6,6,8
62,9,9,10
63,15,15,16
64,12,13,14
65,7,10,11
66,9,10,10
67,11,11,11
68,5,5,6
69,17,15,16
70,12,12,14
71,7,7,7
72,9,9,10
73,5,6,6
74,15,13,15
75,13,15,15
76,12,11,12
77,10,10,10
78,13,13,12
79,12,10,12
80,6,5,0
81,6,7,0
82,14,12,12
83,11,11,10
84,10,9,10
85,14,12,11
86,15,14,14
87,7,7,0
88,19,18,19
89,8,7,6
90,10,13,13
91,8,7,8
92,13,13,13
93,12,13,13
94,16,17,18
95,9,11,11
96,15,14,14
97,12,10,11
98,6,0,0
99,11,11,10
100,15,14,13
101,9,8,8
102,11,11,11
103,10,13,12
104,7,0,0
105,9,9,10
106,13,13,14
107,12,12,13
108,7,10,10
109,10,9,11
110,8,9,9
111,8,8,8
112,7,6,6
113,14,14,14
114,8,9,8
115,13,12,12
116,14,15,16
117,14,14,13
118,5,5,5
119,8,10,10
120,11,13,14
121,7,4,0
122,12,11,12
123,16,14,15
124,12,12,11
125,7,6,6
126,11,11,10
127,12,12,11
128,7,10,11
129,8,7,8
130,7,0,0
131,7,5,0
132,8,8,0
133,11,11,11
134,8,10,12
135,9,10,10
136,11,11,11
137,6,5,5
138,12,11,11
139,14,13,13
140,8,9,10
141,12,13,13
142,11,13,13
143,7,7,5
144,14,12,12
145,8,9,10
146,10,10,9
147,7,7,8
148,12,12,12
149,18,18,18
150,9,8,0
151,12,14,15
152,11,11,11
153,7,6,0
154,13,14,14
155,14,12,13
156,11,13,13
157,10,8,7
158,16,12,13
159,8,8,11
160,9,9,8
161,8,9,10
162,15,15,14
163,12,12,11
164,13,11,11
165,7,9,8
166,11,12,11
167,6,5,0
168,14,13,13
169,6,5,6
170,19,18,18
171,6,7,0
172,12,14,15
173,14,13,14
174,11,10,10
175,16,17,17
176,10,10,10
177,8,8,8
178,10,11,10
179,10,9,9
180,18,18,18
181,12,13,14
182,13,12,12
183,12,12,12
184,9,10,9
185,14,14,14
186,9,7,6
187,15,14,14
188,10,9,0
189,14,16,16
190,13,13,12
191,11,13,14
192,15,12,12
193,8,9,10
194,6,5,0
195,16,15,15
196,14,15,16
197,6,9,8
198,9,12,11
199,7,6,0
200,8,7,8
201,9,9,9
202,16,15,15
203,15,16,15
204,11,11,10
